Corps commander Lieutenant-General Ali Dewra id 1000
Platoon commander Lieutenant Jayden Willems id 10038
Platoon commander Lieutenant Ji Ban id 10539
Platoon commander Lieutenant Juliette Trifonov id 5636
Platoon commander Lieutenant Bala Chakkalakkal id 8680
Platoon commander Lieutenant Michael Brown id 6079
Platoon commander Lieutenant Ethan Garcia id 6613
Platoon commander Lieutenant Miguel Collier id 7923
Platoon commander Lieutenant Nam Chan id 4514
Platoon commander Lieutenant Maximiliano Muller id 10013
Platoon commander Lieutenant Sergio Stewart id 5666
Platoon commander Lieutenant Kong Dear id 1994
Platoon commander Lieutenant Alessandro Dzhurov id 8644
Platoon commander Lieutenant Adalarasu Iragavarapu id 1966
Platoon commander Lieutenant Kusumavati Dahale id 7959
Platoon commander Lieutenant Diego Cruz id 10093
Platoon commander Lieutenant Ivan Asparuhov id 3675
Platoon commander Lieutenant Ou Juan id 4480
Platoon commander Lieutenant Lei Qiao id 6947
Platoon commander Lieutenant Diego Binder id 8113
Platoon commander Lieutenant Lou Cheng id 3923
Platoon commander Lieutenant Hayden Pearson id 10520
Platoon commander Lieutenant Chloe Martin id 1446
Platoon commander Lieutenant Evelyn Mcdonald id 1479
Platoon commander Lieutenant Yann Fuchs id 5708
Platoon commander Lieutenant Leandro Mayr id 6009
Platoon commander Lieutenant Gang Gu id 6723
Platoon commander Lieutenant Josh Hughes id 1735
Platoon commander Lieutenant Raphael Tonev id 10284
Platoon commander Lieutenant Friederich Janssens id 5862
Platoon commander Lieutenant Tristan Mclean id 10307
Platoon commander Lieutenant Sandhya Chundawat id 1701
Platoon commander Lieutenant Alyssa Phillips id 6814
Platoon commander Lieutenant Levi Berger id 1750
Platoon commander Lieutenant Hang Huo id 8557
Platoon commander Lieutenant San Rong id 1767
Platoon commander Lieutenant Nikolai Boyanov id 3767
Platoon commander Lieutenant Alexandra Ingram id 10260
Platoon commander Lieutenant Maximiliano Wolf id 5841
Platoon commander Lieutenant Levi Berbatov id 10402
Platoon commander Lieutenant Ding Hew id 8529
Platoon commander Lieutenant Brady Houston id 4378
Platoon commander Lieutenant Prajin Josula id 8044
Platoon commander Lieutenant Dylan Garza id 10365
Platoon commander Lieutenant Maxim Wallner id 10328
Platoon commander Lieutenant Paul Hayes id 1663
Platoon commander Lieutenant Kundanika Medam id 10347
Platoon commander Lieutenant Gu Kang id 1631
Platoon commander Lieutenant Isabella Stewart id 3806
Platoon commander Lieutenant Jayden Allen id 3832
Platoon commander Lieutenant Nilay Kumpawat id 1606
Platoon commander Lieutenant Tannishtha Kodali id 6778
Platoon commander Lieutenant Padmakali Dubey id 8495
Platoon commander Lieutenant Meg Ramirez id 5933
Platoon commander Lieutenant Da Da id 6742
Platoon commander Lieutenant Friederich Gruber id 4340
Platoon commander Lieutenant Kevin Stanley id 4414
Platoon commander Lieutenant Bradley Craig id 1845
Platoon commander Lieutenant William Lee id 5905
Platoon commander Lieutenant Shreyashi Gera id 5782
Platoon commander Lieutenant Emma Green id 10197
Platoon commander Lieutenant Siddheshwar Duggireddy id 8461
Platoon commander Lieutenant Breanna Livingston id 10459
Platoon commander Lieutenant Autumn Dean id 1498
Platoon commander Lieutenant Dariya Dzhurov id 6875
Platoon commander Lieutenant Vallari Gohil id 4441
Platoon commander Lieutenant Niu Jiang id 7984
Platoon commander Lieutenant Gor Lang id 3897
Platoon commander Lieutenant Tapti Godavarthy id 5767
Platoon commander Lieutenant Alexa Moon id 8597
Platoon commander Lieutenant Christian Hoffman id 3730
Platoon commander Lieutenant Bi Dou id 8002
Platoon commander Lieutenant Charulata Khan id 1801
Platoon commander Lieutenant You Ci id 6847
Platoon commander Lieutenant Friederich Wagner id 8576
Platoon commander Lieutenant Yin Lou id 1563
Platoon commander Lieutenant Veeti Goossens id 10232
Platoon commander Lieutenant Tristan Conner id 6706
Platoon commander Lieutenant Jose Smith id 5978
Platoon commander Lieutenant Viktor Castro id 5802
Platoon commander Lieutenant Austin James id 1528
Platoon commander Lieutenant Tiffany Pate id 6683
Platoon commander Lieutenant Alexandria Pratt id 3879
Platoon commander Lieutenant Victor Myers id 8087
Platoon commander Lieutenant Yanis Hofer id 10434
Platoon commander Lieutenant Dao Bing id 10489
Platoon commander Lieutenant Autumn Carter id 5486
Platoon commander Lieutenant Dang Ggim id 2742
Platoon commander Lieutenant You Shu id 9416
Platoon commander Lieutenant Kamile Todorov id 8979
Platoon commander Lieutenant Firoza Bapat id 3274
Platoon commander Lieutenant Hugo Wallner id 7398
Platoon commander Lieutenant Manjusri Gedam id 3293
Platoon commander Lieutenant Ion Berbatov id 2723
Platoon commander Lieutenant Lao Ba id 5147
Platoon commander Lieutenant Yanis Steiner id 2762
Platoon commander Lieutenant Alexies Reed id 4766
Platoon commander Lieutenant Jayden Simon id 2812
Platoon commander Lieutenant Maxwell Mcbride id 7449
Platoon commander Lieutenant Raza Gera id 7698
Platoon commander Lieutenant Kylee Bonner id 9382
Platoon commander Lieutenant Owen Conner id 5099
Platoon commander Lieutenant Ting Yin id 7431
Platoon commander Lieutenant Diego Lefevre id 3248
Platoon commander Lieutenant Da Gwock id 2791
Platoon commander Lieutenant Summer Young id 9457
Platoon commander Lieutenant Ou Mai id 7744
Platoon commander Lieutenant Ian Graves id 8922
Platoon commander Lieutenant Gan Er id 2617
Platoon commander Lieutenant Kang Thian id 7339
Platoon commander Lieutenant Ma Pang id 5230
Platoon commander Lieutenant Rebecca Goodman id 9540
Platoon commander Lieutenant Chandramohan Padhi id 7312
Platoon commander Lieutenant Clarisse Dupont id 7772
Platoon commander Lieutenant Han Che id 2598
Platoon commander Lieutenant Natwar Dumra id 5214
Platoon commander Lieutenant Juliana Bradley id 3321
Platoon commander Lieutenant Marco Ashley id 7368
Platoon commander Lieutenant Xu Zhuo id 5175
Platoon commander Lieutenant Ping Liao id 2690
Platoon commander Lieutenant Zoe Shepard id 8944
Platoon commander Lieutenant Mayur Punj id 5192
Platoon commander Lieutenant Oliver Morales id 9501
Platoon commander Lieutenant Markandeya Chaudhary id 4729
Platoon commander Lieutenant Bandhu Manne id 2661
Platoon commander Lieutenant Duo Chaim id 9016
Platoon commander Lieutenant Nathaniel Sims id 3220
Platoon commander Lieutenant Raakhi Gangopadhyay id 3016
Platoon commander Lieutenant Shobha Akurdikar id 9094
Platoon commander Lieutenant Narmada Arulanandom id 4936
Platoon commander Lieutenant Jack Perry id 9192
Platoon commander Lieutenant Genesis Leon id 4852
Platoon commander Lieutenant Levi Robert id 9227
Platoon commander Lieutenant Duo Chong id 7653
Platoon commander Lieutenant Dejan Willems id 7563
Platoon commander Lieutenant Ahmed Bauer id 3127
Platoon commander Lieutenant Mia Murphy id 7586
Platoon commander Lieutenant Nirmala Bika id 3081
Platoon commander Lieutenant Mykyta Legrant id 7623
Platoon commander Lieutenant Andriy Schmid id 9129
Platoon commander Lieutenant Bian Ban id 4897
Platoon commander Lieutenant Colin Nixon id 9149
Platoon commander Lieutenant Puo Ping id 3048
Platoon commander Lieutenant Isaac Hudson id 4869
Platoon commander Lieutenant Zoe Baker id 9111
Platoon commander Lieutenant Shei Ta id 2972
Platoon commander Lieutenant John Hall id 7544
Platoon commander Lieutenant Sudhanssu Walia id 2892
Platoon commander Lieutenant Karabi Khosla id 4812
Platoon commander Lieutenant Yekaterina Yankov id 9292
Platoon commander Lieutenant Nicholas Burke id 3202
Platoon commander Lieutenant Dmitry Bojidarov id 7485
Platoon commander Lieutenant Kelly Andrews id 9340
Platoon commander Lieutenant Enzo Winkler id 2851
Platoon commander Lieutenant Luo Chin id 5056
Platoon commander Lieutenant Lea Fuchs id 5015
Platoon commander Lieutenant Manprasad Pathak id 9048
Platoon commander Lieutenant Jue Jiao id 4831
Platoon commander Lieutenant Maella Ebner id 3158
Platoon commander Lieutenant Kimberly Vega id 4976
Platoon commander Lieutenant Nathaniel Gentry id 9256
Platoon commander Lieutenant Lei Huan id 2936
Platoon commander Lieutenant Artem Conti id 9275
Platoon commander Lieutenant Roy Gomez id 7525
Platoon commander Lieutenant Dao Huan id 9559
Platoon commander Lieutenant Lomberto Hall id 2568
Platoon commander Lieutenant Sugita Aarella id 2240
Platoon commander Lieutenant Ethan Henderson id 3518
Platoon commander Lieutenant Andriy Georgiev id 4279
Platoon commander Lieutenant Edgar Hutchinson id 5502
Platoon commander Lieutenant Jie Da id 7099
Platoon commander Lieutenant Jonas Lang id 9889
Platoon commander Lieutenant Leon Mayr id 2215
Platoon commander Lieutenant Seth Christian id 4571
Platoon commander Lieutenant Sophie Morris id 9843
Platoon commander Lieutenant Nicole Rodriguez id 2267
Platoon commander Lieutenant Noah Lehner id 5442
Platoon commander Lieutenant Kunjana Anand id 2312
Platoon commander Lieutenant Cameron Caldwell id 4607
Platoon commander Lieutenant Steven Aguilar id 7143
Platoon commander Lieutenant Sophie Roberts id 9810
Platoon commander Lieutenant Gan Koo id 7869
Platoon commander Lieutenant Bei Fan id 8777
Platoon commander Lieutenant Leija Claes id 3500
Platoon commander Lieutenant Dian Eng id 3552
Platoon commander Lieutenant Madison Chambers id 4555
Platoon commander Lieutenant Kylie Leon id 9962
Platoon commander Lieutenant Mason Lewis id 4533
Platoon commander Lieutenant Sarala Kirtipati id 7907
Platoon commander Lieutenant Yanis Schmidt id 7027
Platoon commander Lieutenant Mukulita Dhadda id 9979
Platoon commander Lieutenant Lucas Garza id 2082
Platoon commander Lieutenant Kylie Day id 8697
Platoon commander Lieutenant Raphael Dimitrov id 5603
Platoon commander Lieutenant Madeline Simpson id 2129
Platoon commander Lieutenant Evelyn Espinoza id 5564
Platoon commander Lieutenant David Black id 8736
Platoon commander Lieutenant Induja Buhpathi id 7070
Platoon commander Lieutenant Francesco Gruber id 2180
Platoon commander Lieutenant Ally Henderson id 5547
Platoon commander Lieutenant Viktoria De Luca id 2163
Platoon commander Lieutenant Andrei Fleming id 3568
Platoon commander Lieutenant Lorenzo Janssens id 9917
Platoon commander Lieutenant Aurelien Janssens id 7160
Platoon commander Lieutenant Kathryn Eaton id 9767
Platoon commander Lieutenant Tobias Koller id 3404
Platoon commander Lieutenant Viplav Desai id 9636
Platoon commander Lieutenant Sierra Bowen id 5308
Platoon commander Lieutenant Aditya Azad id 5327
Platoon commander Lieutenant Ar Chao id 9654
Platoon commander Lieutenant Kimberly Carr id 4654
Platoon commander Lieutenant Nu Hsiao id 2468
Platoon commander Lieutenant Prita Chandola id 8859
Platoon commander Lieutenant Ou Law id 7267
Platoon commander Lieutenant Francesco Mayer id 2512
Platoon commander Lieutenant John Brown id 5266
Platoon commander Lieutenant Ba Ba id 3363
Platoon commander Lieutenant Francesco Huber id 4693
Platoon commander Lieutenant Keshini Gunnam id 9593
Platoon commander Lieutenant Maella Mertens id 2542
Platoon commander Lieutenant Joel Bradford id 5292
Platoon commander Lieutenant Jalil Jena id 7792
Platoon commander Lieutenant Aiden Bell id 8886
Platoon commander Lieutenant Diego Lewis id 9669
Platoon commander Lieutenant Ou Ge id 5345
Platoon commander Lieutenant Mitch Singleton id 2372
Platoon commander Lieutenant Min Kang id 7187
Platoon commander Lieutenant Hunter Valdez id 8823
Platoon commander Lieutenant Spencer Alexander id 4625
Platoon commander Lieutenant Tobias Steiner id 9742
Platoon commander Lieutenant Hang Dear id 2345
Platoon commander Lieutenant Ahmed Steiner id 5408
Platoon commander Lieutenant Gu Ggim id 3464
Platoon commander Lieutenant Angelica Cline id 9725
Platoon commander Lieutenant Maxim Leitner id 7204
Platoon commander Lieutenant Dhruv Mohanty id 9688
Platoon commander Lieutenant Dhiren Minhas id 2438
Platoon commander Lieutenant Ricardo Chase id 7231
Platoon commander Lieutenant Asgari Amladi id 2414
Platoon commander Lieutenant Matthieu Maes id 3437
Platoon commander Lieutenant Sebastian Floyd id 7829
Platoon commander Lieutenant Abhinanda Sankathala id 5374
Platoon commander Lieutenant Jake Fowler id 3603
Platoon commander Lieutenant Erica Newman id 6992
Platoon commander Lieutenant Lily Preston id 6391
Platoon commander Lieutenant Adriana Lara id 10802
Platoon commander Lieutenant Ezio Brunner id 3981
Platoon commander Lieutenant Zu Zhan id 4154
Platoon commander Lieutenant Natalie Evans id 6537
Platoon commander Lieutenant Meg Gomez id 6283
Platoon commander Lieutenant Caitlin Dixon id 8159
Platoon commander Lieutenant Ping Che id 4219
Platoon commander Lieutenant Arpana Dhaliwal id 10620
Platoon commander Lieutenant Suvan Dave id 6205
Platoon commander Lieutenant Dejan Martin id 8275
Platoon commander Lieutenant Clara Uzunov id 4016
Platoon commander Lieutenant Kou Lian id 1343
Platoon commander Lieutenant Gu Hui id 8218
Platoon commander Lieutenant Clara Eder id 8349
Platoon commander Lieutenant Ding Bai id 1168
Platoon commander Lieutenant Asavari Arulanandom id 1069
Platoon commander Lieutenant Anchal Chaturvedi id 10575
Platoon commander Lieutenant Nandan Kathika id 1379
Platoon commander Lieutenant Mythili Lokhande id 3964
Platoon commander Lieutenant Ketana Joshi id 4062
Platoon commander Lieutenant Narek Pichler id 10836
Platoon commander Lieutenant Natty Wilson id 6570
Platoon commander Lieutenant Artem Tasev id 1042
Platoon commander Lieutenant Dhriti Gangopadhyay id 6238
Platoon commander Lieutenant Kate Stewart id 1263
Platoon commander Lieutenant Levi Bishop id 1297
Platoon commander Lieutenant Mahima Iragavarapu id 8196
Platoon commander Lieutenant Snehalata Advani id 10867
Platoon commander Lieutenant Sofia Eder id 4134
Platoon commander Lieutenant Laura Reynolds id 4080
Platoon commander Lieutenant Paula Callahan id 8367
Platoon commander Lieutenant Ivan Boyanov id 8131
Platoon commander Lieutenant Ahmed Martin id 6132
Platoon commander Lieutenant Dariya Kozlov id 4237
Platoon commander Lieutenant Cameron Ross id 1149
Platoon commander Lieutenant Clarisse Martin id 6501
Platoon commander Lieutenant Bishakha Agarkar id 10768
Platoon commander Lieutenant Andrei Dzhurov id 1228
Platoon commander Lieutenant Vahini Mallya id 6465
Platoon commander Lieutenant Nam Du id 10717
Platoon commander Lieutenant Ming Ge id 6596
Platoon commander Lieutenant Sarasa Bhalla id 1005
Platoon commander Lieutenant Bulbul Dave id 4203
Platoon commander Lieutenant Veeti Boyanov id 8300
Platoon commander Lieutenant Ally Watkins id 6097
Platoon commander Lieutenant Chaitaly Bagul id 6417
Platoon commander Lieutenant Sananda Purang id 10653
Platoon commander Lieutenant Ping Han id 10750
Platoon commander Lieutenant Jacob Robinson id 8406
Platoon commander Lieutenant Gage Stafford id 6309
Platoon commander Lieutenant Karina Singleton id 8317
Platoon commander Lieutenant Raul Obrien id 10686
Platoon commander Lieutenant Zuo Yuan id 6174
Platoon commander Lieutenant Gang Chi id 4105
Platoon commander Lieutenant Sheng Ruan id 6326
Platoon commander Lieutenant Michelline Black id 1103
Platoon commander Lieutenant Dharitri Azad id 6519
Platoon commander Lieutenant Thibault Legrant id 8257
Platoon commander Lieutenant Feng Cheng id 1185
Platoon commander Lieutenant Samuel Bass id 10818
Platoon commander Lieutenant Arun Bhadauria id 6447
Platoon commander Lieutenant Ding Hou id 6150
Squad commander Sergeant Bansilal Bagora id 6484
Squad commander Sergeant Qian Mao id 5487
Squad commander Sergeant Charlotte Richards id 3536
Squad commander Sergeant Maxence Boyanov id 9350
Squad commander Sergeant Julian Aguilar id 3519
Squad commander Sergeant Jie Kau id 1395
Squad commander Sergeant Raphael Jacobs id 1061
Squad commander Sergeant Kayla Powell id 9341
Squad commander Sergeant Isaiah Kim id 4564
Squad commander Sergeant Luana Kozlov id 2206
Squad commander Sergeant David Morales id 7889
Squad commander Sergeant Pong Lei id 2831
Squad commander Sergeant David Lee id 4045
Squad commander Sergeant Laura Cooper id 9844
Squad commander Sergeant Gu Khu id 4579
Squad commander Sergeant Taylor Wall id 2248
Squad commander Sergeant Narek Pichler id 9880
Squad commander Sergeant Michelline Taylor id 1195
Squad commander Sergeant Wiktoria Hofer id 10733
Squad commander Sergeant Min Che id 5519
Squad commander Sergeant Mithilesh Lokku id 7089
Squad commander Sergeant Hou Kan id 5494
Squad commander Sergeant Shravani Kottieth id 9861
Squad commander Sergeant Di Jian id 6230
Squad commander Sergeant Pritikana Borraju id 9870
Squad commander Sergeant Veena Jha id 3528
Squad commander Sergeant Lilou Meyer id 10845
Squad commander Sergeant Filip Janssens id 9017
Squad commander Sergeant Alejandro Reiter id 5066
Squad commander Sergeant Aiden Phillips id 2226
Squad commander Sergeant Gu Che id 7100
Squad commander Sergeant Chase Sullivan id 4212
Squad commander Sergeant Elizabeth Gilmore id 3221
Squad commander Sergeant Zeng Zhou id 4572
Squad commander Sergeant Gor Bauer id 4165
Squad commander Sergeant Jaisudha Champatiray id 5510
Squad commander Sergeant Supriti Mehra id 9853
Squad commander Sergeant Maella Mertens id 5503
Squad commander Sergeant Dejan Muller id 8754
Squad commander Sergeant Serena Kunder id 2841
Squad commander Sergeant Javier Rollins id 8325
Squad commander Sergeant Lilly Wells id 1202
Squad commander Sergeant Amitava Dalvi id 7107
Squad commander Sergeant Francisco Blanchard id 2233
Squad commander Sergeant Pei Lim id 7879
Squad commander Sergeant Vanessa Wallace id 2216
Squad commander Sergeant Jiang Cui id 8763
Squad commander Sergeant Pramesh Kanumuri id 2241
Squad commander Sergeant Fernando Mckay id 4588
Squad commander Sergeant Kamalkali Agarwal id 10741
Squad commander Sergeant Cindy Chapman id 3237
Squad commander Sergeant Chloe Mitchell id 5443
Squad commander Sergeant Charleen Castillo id 2313
Squad commander Sergeant Maximiliano Leitner id 8795
Squad commander Sergeant Paula Burnett id 9786
Squad commander Sergeant Jaipal Riny id 7706
Squad commander Sergeant Muo Ggim id 7151
Squad commander Sergeant Vu Fei id 6410
Squad commander Sergeant Tang Kwong id 9795
Squad commander Sergeant Shreela Challa id 1186
Squad commander Sergeant Fei Guan id 7859
Squad commander Sergeant Mandakranta Mathure id 9365
Squad commander Sergeant Dao Ban id 7144
Squad commander Sergeant Trevor Gregory id 2302
Squad commander Sergeant Hansa Ghoshal id 2813
Squad commander Sergeant Kamana Capry id 3490
Squad commander Sergeant Jahanara Chundawat id 8318
Squad commander Sergeant Jonas Fuchs id 2320
Squad commander Sergeant Emma Stewart id 8803
Squad commander Sergeant Dhanya Chalasani id 9373
Squad commander Sergeant Jaidev Akurdikar id 5426
Squad commander Sergeant Gan Foong id 7849
Squad commander Sergeant Sha Huo id 3475
Squad commander Sergeant Aiden Banks id 9768
Squad commander Sergeant Josh Allen id 2337
Squad commander Sergeant Samuel Hickman id 9776
Squad commander Sergeant Kenneth Vega id 7161
Squad commander Sergeant Kenneth Conner id 4608
Squad commander Sergeant Hou Feng id 5434
Squad commander Sergeant Trenton Andrews id 3482
Squad commander Sergeant Alex Brown id 5090
Squad commander Sergeant Har Guang id 4204
Squad commander Sergeant Fei Cong id 2328
Squad commander Sergeant Nick Reed id 6247
Squad commander Sergeant Sydney Mcdonald id 9803
Squad commander Sergeant Amoda Bhatia id 4598
Squad commander Sergeant Dhwani Dutta id 8747
Squad commander Sergeant Ujwala Date id 9828
Squad commander Sergeant Tripta Janaswamy id 2268
Squad commander Sergeant Jesus Garcia id 6239
Squad commander Sergeant Hang Chou id 7125
Squad commander Sergeant Cameron Bailey id 3230
Squad commander Sergeant Parasmani Motwani id 5469
Squad commander Sergeant Friederich Pichler id 7870
Squad commander Sergeant Kailashchandra Gavit id 3511
Squad commander Sergeant Veronica Calhoun id 2258
Squad commander Sergeant Chinmayi Holkar id 7116
Squad commander Sergeant Abhayaprada Palepu id 7699
Squad commander Sergeant Shaili Chekuri id 9836
Squad commander Sergeant Ryan Mitchell id 8770
Squad commander Sergeant Puo Lui id 5476
Squad commander Sergeant Han Chu id 5075
Squad commander Sergeant Veeti Schmidt id 2275
Squad commander Sergeant Duo Bao id 8778
Squad commander Sergeant Kua Fan id 5082
Squad commander Sergeant Puo Hui id 9811
Squad commander Sergeant Nikolai Dubois id 9007
Squad commander Sergeant Aiden Sullivan id 2292
Squad commander Sergeant Hannah Banks id 7450
Squad commander Sergeant Jackson Webster id 5453
Squad commander Sergeant Ezio Pichler id 8787
Squad commander Sergeant Mohit Pillai id 7134
Squad commander Sergeant Anjasa Bouloussou id 5460
Squad commander Sergeant Jackson Mccoy id 4785
Squad commander Sergeant Asmita Adani id 2823
Squad commander Sergeant Narek Berger id 9357
Squad commander Sergeant Ji Dan id 9818
Squad commander Sergeant Muo Kwei id 3501
Squad commander Sergeant Caden Martinez id 8187
Squad commander Sergeant Clarisse Penev id 2283
Squad commander Sergeant Sophie Lechkov id 7460
Squad commander Sergeant Di Chi id 7071
Squad commander Sergeant Adam Copeland id 5034
Squad commander Sergeant Gage Cook id 2083
Squad commander Sergeant Friederich Schmidt id 8341
Squad commander Sergeant Connor Sharp id 8698
Squad commander Sergeant Abhishek Kodali id 5604
Squad commander Sergeant Mitchell Tucker id 1229
Squad commander Sergeant William Taylor id 9980
Squad commander Sergeant Brian Branch id 4027
Squad commander Sergeant Pran Menon id 2882
Squad commander Sergeant Alexies Perkins id 6511
Squad commander Sergeant Isabella James id 7010
Squad commander Sergeant Banita Kamboj id 1238
Squad commander Sergeant Aurelien Dupont id 7493
