Army commander General Lavali Kunala id 1000
Company commander Captain Dao Bu id 5781
Company commander Captain Jayden Baumgartner id 3922
Company commander Captain Josh Cruz id 13134
Company commander Captain Saudamini Ravinuthala id 11295
Company commander Captain Sheela Chennamsetty id 5613
Company commander Captain Latika Gaekwad id 1074
Company commander Captain Makenzie Porter id 14709
Company commander Captain Wiktoria Hofer id 14759
Company commander Captain Zack Patton id 2731
Company commander Captain Denys Boyanov id 6174
Company commander Captain Jayaditya Nalli id 8370
Company commander Captain Guo Hu id 6482
Company commander Captain Gu Cheung id 7454
Company commander Captain Logan Sandoval id 7257
Company commander Captain Devnath Gupta and Gupte id 5928
Company commander Captain Shakeela Kandpal id 3106
Company commander Captain Valeria West id 1646
Company commander Captain Alan Duran id 1584
Company commander Captain Paul Flowers id 1005
Company commander Captain Ajanta Aarella id 8179
Company commander Captain Cheyenne Crosby id 5217
Company commander Captain Diana Barrett id 6897
Company commander Captain Lin Seow id 11720
Company commander Captain Savannah Long id 13808
Company commander Captain Veeti De Smet id 4475
Company commander Captain Ion Blucher id 14288
Company commander Captain Luana Gospodinov id 10753
Company commander Captain Harshit Parikh id 8456
Company commander Captain Phil Romero id 4590
Company commander Captain Manjari Inda id 9822
Company commander Captain Sara Popov id 10890
Company commander Captain Huo Feng id 2171
Company commander Captain Brett Ortiz id 2293
Company commander Captain Enzo Moser id 10244
Company commander Captain Nandana Garg id 8885
Company commander Captain Veeti Jacobs id 13001
Company commander Captain Danny Stone id 4279
Company commander Captain Kevin Soto id 7181
Platoon commander Lieutenant Alexis Miranda id 12300
Platoon commander Lieutenant Gor Lang id 10020
Platoon commander Lieutenant Ma Jin id 14596
Platoon commander Lieutenant Sara Wyatt id 8978
Platoon commander Lieutenant Amitbikram Mukherjee id 9707
Platoon commander Lieutenant Gor Huber id 11779
Platoon commander Lieutenant Samit Maheshwari id 6303
Platoon commander Lieutenant Martand Chakkalakkal id 4280
Platoon commander Lieutenant Dian Cen id 11130
Platoon commander Lieutenant Vaijayanti Parihar id 7366
Platoon commander Lieutenant Kua Guang id 1585
Platoon commander Lieutenant Deng Chang id 4899
Platoon commander Lieutenant Alexies Morales id 14575
Platoon commander Lieutenant Juan Alvarez id 3338
Platoon commander Lieutenant Stephanie Gibbs id 3357
Platoon commander Lieutenant Hou Cen id 8212
Platoon commander Lieutenant Tiffany Blevins id 10972
Platoon commander Lieutenant Veeti Muller id 13106
Platoon commander Lieutenant Noah Tucker id 2107
Platoon commander Lieutenant Shuo Xue id 13088
Platoon commander Lieutenant Gor Simon id 11552
Platoon commander Lieutenant Jayden Jones id 6960
Platoon commander Lieutenant Lilou Katzarov id 8274
Platoon commander Lieutenant Troy Lucas id 14674
Platoon commander Lieutenant Victoria Kirk id 3461
Platoon commander Lieutenant Di Er id 12359
Platoon commander Lieutenant Qu Lo id 4591
Platoon commander Lieutenant Vidhut Roy id 12040
Platoon commander Lieutenant Damian Richard id 10109
Platoon commander Lieutenant Noah Evans id 2172
Platoon commander Lieutenant Debashish Manwatkar id 1480
Platoon commander Lieutenant Bandhu Motiani id 6898
Platoon commander Lieutenant Mirana Tucker id 7409
Platoon commander Lieutenant Jack Webb id 2732
Platoon commander Lieutenant Jaden Figueroa id 8293
Platoon commander Lieutenant Deng Da id 13002
Platoon commander Lieutenant Addison Kent id 5218
Platoon commander Lieutenant Dian Hong id 6353
Platoon commander Lieutenant Dakota Curry id 7227
Platoon commander Lieutenant Pritilata Dayal id 12964
Platoon commander Lieutenant Puo Kan id 4864
Platoon commander Lieutenant Vanessa Hunter id 8323
Platoon commander Lieutenant Joe Riley id 10132
Platoon commander Lieutenant Rohit Sharma id 6851
Platoon commander Lieutenant Lillian Tate id 14710
Platoon commander Lieutenant Ruby Perry id 1447
Platoon commander Lieutenant Hailey Pearson id 13631
Platoon commander Lieutenant Dian Khu id 5888
Platoon commander Lieutenant Yanis Iliev id 4210
Platoon commander Lieutenant Arianna Ferguson id 6079
Platoon commander Lieutenant Anala Amarnath id 3488
Platoon commander Lieutenant Natty Jones id 14075
Platoon commander Lieutenant Nirad Sutaria id 9657
Platoon commander Lieutenant Emily Sanchez id 4230
Platoon commander Lieutenant Qian Tan id 10782
Platoon commander Lieutenant Thibault Weber id 1541
Platoon commander Lieutenant Carlos Colon id 13585
Platoon commander Lieutenant Vinaya Kanna id 8952
Platoon commander Lieutenant Ping Huo id 8257
Platoon commander Lieutenant Kateryna Janssens id 13044
Platoon commander Lieutenant Maxim Eder id 6927
Platoon commander Lieutenant Patmanjari Manchandhani id 2767
Platoon commander Lieutenant Cody Sims id 14115
Platoon commander Lieutenant Ri Gui id 3382
Platoon commander Lieutenant Mary Pugh id 8241
Platoon commander Lieutenant Ashima Allu id 6096
Platoon commander Lieutenant Manmatha Shukla id 5187
Platoon commander Lieutenant Claire Campbell id 5869
Platoon commander Lieutenant Bi Bao id 10057
Platoon commander Lieutenant Tristan Cobb id 7825
Platoon commander Lieutenant Derek Howell id 14631
Platoon commander Lieutenant Kanakpriya Karra id 9321
Platoon commander Lieutenant Fatma Rizzo id 5649
Platoon commander Lieutenant Ji Bai id 13604
Platoon commander Lieutenant Da Chi id 3431
Platoon commander Lieutenant Fei Gen id 8932
Platoon commander Lieutenant Sophia Carter id 10089
Platoon commander Lieutenant Veeti Wolf id 14148
Platoon commander Lieutenant Song Mai id 1514
Platoon commander Lieutenant Zoe Padilla id 10575
Platoon commander Lieutenant Xiang Man id 3413
Platoon commander Lieutenant Xian Qi id 2150
Platoon commander Lieutenant An Bao id 9678
Platoon commander Lieutenant Mitchell Bates id 11527
Platoon commander Lieutenant Lorenzo Kanev id 12340
Platoon commander Lieutenant Sahana Kankariya id 7842
Platoon commander Lieutenant Sajala Bouloussou id 1683
Platoon commander Lieutenant Friederich Lechner id 2944
Platoon commander Lieutenant Lauren Pierce id 14387
Platoon commander Lieutenant Sampada Duggireddy id 9877
Platoon commander Lieutenant Joe Mills id 7258
Platoon commander Lieutenant Parker Gallegos id 8062
Platoon commander Lieutenant Rukmini Sadasyula id 5056
Platoon commander Lieutenant Vasanta Nagdev id 1983
Platoon commander Lieutenant Kylie Delgado id 6216
Platoon commander Lieutenant Kong Mu id 11721
Platoon commander Lieutenant Seth Morton id 1826
Platoon commander Lieutenant Diego Fuchs id 7954
Platoon commander Lieutenant Vahini Alla id 11667
Platoon commander Lieutenant Lucy Knapp id 4476
Platoon commander Lieutenant Maella Aigner id 13327
Platoon commander Lieutenant Yann Hofer id 3078
Platoon commander Lieutenant Lily Estrada id 7162
Platoon commander Lieutenant Jonathan Bishop id 9208
Platoon commander Lieutenant Ion Sofiyanski id 3107
Platoon commander Lieutenant Thibault Martin id 12204
Platoon commander Lieutenant Erica Skinner id 5744
Platoon commander Lieutenant Alessandro Borisov id 4962
Platoon commander Lieutenant Cody Walsh id 3133
Platoon commander Lieutenant Nam Mu id 9776
Platoon commander Lieutenant Brady Maldonado id 2909
Platoon commander Lieutenant Michael Reyes id 7284
Platoon commander Lieutenant Aleksandar Roux id 3151
Platoon commander Lieutenant Madison Barnes id 13263
Platoon commander Lieutenant Shrigeeta Gujjula id 7124
Platoon commander Lieutenant Stephanie Dyer id 9904
Platoon commander Lieutenant Noah Bauer id 4391
Platoon commander Lieutenant Hailey Munoz id 14406
Platoon commander Lieutenant Aseema Bedi id 9109
Platoon commander Lieutenant Lauren Perry id 1792
Platoon commander Lieutenant Ri Won id 14237
Platoon commander Lieutenant Isaiah Townsend id 13457
Platoon commander Lieutenant Julian Salazar id 13281
Platoon commander Lieutenant Maximiliano Durand id 9136
Platoon commander Lieutenant Feng Foong id 9859
Platoon commander Lieutenant Yian Loong id 14289
Platoon commander Lieutenant Emma Smith id 8001
Platoon commander Lieutenant Ella Schmidt id 1902
Platoon commander Lieutenant Wiktoria Lombardi id 5014
Platoon commander Lieutenant Luis Douglas id 13404
Platoon commander Lieutenant Vladyslav Hofer id 7202
Platoon commander Lieutenant Gu Er id 9163
Platoon commander Lieutenant Charles Miranda id 14325
Platoon commander Lieutenant Sheng Zha id 2983
Platoon commander Lieutenant Deng He id 13387
Platoon commander Lieutenant Osman Malwade id 9823
Platoon commander Lieutenant Brooklyn Miller id 12150
Platoon commander Lieutenant Aleksandre Ivanov id 6175
Platoon commander Lieutenant Lou Gong id 2999
Platoon commander Lieutenant Min Dong id 1927
Platoon commander Lieutenant Jayden Berbatov id 10708
Platoon commander Lieutenant Mukunda Dhadda id 14308
Platoon commander Lieutenant Amodini Bhattacharya id 1945
Platoon commander Lieutenant Har Huo id 11684
Platoon commander Lieutenant Aurelien Metodiev id 8031
Platoon commander Lieutenant Anandamayi Azad id 1856
Platoon commander Lieutenant Chandraraj Shan id 12179
Platoon commander Lieutenant Morgan Richards id 13421
Platoon commander Lieutenant Dou Ci id 7182
Platoon commander Lieutenant Katherine Schultz id 14270
Platoon commander Lieutenant Melanie Butler id 4428
Platoon commander Lieutenant Naseen Champawat id 11048
Platoon commander Lieutenant Muo Phuong id 13348
Platoon commander Lieutenant Claire Mcdonald id 14350
Platoon commander Lieutenant Qiang Chong id 1874
Platoon commander Lieutenant Vu Gou id 3035
Platoon commander Lieutenant Luana Winkler id 5782
Platoon commander Lieutenant Deng Jiao id 11024
Platoon commander Lieutenant Maeva Lehner id 4988
Platoon commander Lieutenant Michelline Wilson id 6193
Platoon commander Lieutenant Qian Pang id 10692
Platoon commander Lieutenant Dakota Hoover id 9088
Platoon commander Lieutenant Maxim Mayer id 6235
Platoon commander Lieutenant Guillaume Tasev id 1663
Platoon commander Lieutenant Dwijesh Lokhandwala id 3258
Platoon commander Lieutenant Isaiah Shepherd id 4324
Platoon commander Lieutenant Vidyut Ghosh id 7032
Platoon commander Lieutenant Landon Oneal id 9985
Platoon commander Lieutenant Ally Palmer id 1647
Platoon commander Lieutenant Aiden Mcbride id 9021
Platoon commander Lieutenant Natalie Campbell id 14173
Platoon commander Lieutenant Derek Conner id 13172
Platoon commander Lieutenant Nikolai Fischer id 7885
Platoon commander Lieutenant Narek Bauer id 11758
Platoon commander Lieutenant Sanyakta Chugh id 11490
Platoon commander Lieutenant Susita Dasineni id 13508
Platoon commander Lieutenant Alyssa Stevens id 12265
Platoon commander Lieutenant Emma Gregory id 11593
Platoon commander Lieutenant Tang Shuo id 7328
Platoon commander Lieutenant Aurelien Mertens id 14510
Platoon commander Lieutenant Ryan Phillips id 8180
Platoon commander Lieutenant Cody Charles id 12087
Platoon commander Lieutenant Deng Kwan id 1622
Platoon commander Lieutenant Devi Kamboh id 13135
Platoon commander Lieutenant Leon Bauer id 5146
Platoon commander Lieutenant Ahmed Wallner id 4545
Platoon commander Lieutenant Ling Deer id 7347
Platoon commander Lieutenant Amelia Bullock id 10605
Platoon commander Lieutenant Noah Eder id 4916
Platoon commander Lieutenant Raul Smith id 13540
Platoon commander Lieutenant Clara Nikolov id 5689
Platoon commander Lieutenant Isaac Alexander id 2827
Platoon commander Lieutenant Lao Jing id 10754
Platoon commander Lieutenant Jue Sun id 2079
Platoon commander Lieutenant Alyssa Ferguson id 14534
Platoon commander Lieutenant Narek Wimmer id 10002
Platoon commander Lieutenant Levi Muller id 3292
Platoon commander Lieutenant Gang Huang id 7005
Platoon commander Lieutenant Elise Kremenliev id 9277
Platoon commander Lieutenant Matthieu Bojidarov id 6265
Platoon commander Lieutenant Trent Whitehead id 5710
Platoon commander Lieutenant Lindsey Galloway id 5728
Platoon commander Lieutenant Lang Gen id 7914
Platoon commander Lieutenant Diego Cross id 5827
Platoon commander Lieutenant Bhagyawati Baid id 3187
Platoon commander Lieutenant Jabeen Badgujar id 1734
Platoon commander Lieutenant Maximiliano Roux id 11087
Platoon commander Lieutenant Sha Xian id 9942
Platoon commander Lieutenant Dian Jui id 11620
Platoon commander Lieutenant Lin Khu id 14449
Platoon commander Lieutenant Sara Iliev id 4366
Platoon commander Lieutenant Champa Chakkalackal id 9925
Platoon commander Lieutenant Alessandro Schwarz id 2010
Platoon commander Lieutenant Sha Rui id 1765
Platoon commander Lieutenant Marichi Kodi id 8105
Platoon commander Lieutenant Rachel Hubbard id 12231
Platoon commander Lieutenant Jaden Gross id 14217
Platoon commander Lieutenant Antonio Bryan id 12116
Platoon commander Lieutenant Dheer parveen id 7079
Platoon commander Lieutenant Nathan Stewart id 2034
Platoon commander Lieutenant Aleksandar Martin id 2862
Platoon commander Lieutenant Aruni Agrawal id 10996
Platoon commander Lieutenant Ar Au-yong id 3219
Platoon commander Lieutenant Di Cuan id 14191
Platoon commander Lieutenant Bakula Jampana id 9046
Platoon commander Lieutenant Ren Ruan id 7052
Platoon commander Lieutenant Sarah Long id 14491
Platoon commander Lieutenant Trinity Mueller id 4520
Platoon commander Lieutenant Carlos Howe id 6133
Platoon commander Lieutenant Thibault Stoichkov id 13218
Platoon commander Lieutenant Andrea Weaver id 5101
Platoon commander Lieutenant Tarunima Naudiyal id 10645
Platoon commander Lieutenant Luca Kanev id 1717
Platoon commander Lieutenant Harilal Aggarwal id 9751
Platoon commander Lieutenant Dharmanand Angajala id 9250
Platoon commander Lieutenant Gabriel Barnett id 8133
Platoon commander Lieutenant Diego Konstantinov id 2811
Platoon commander Lieutenant Siddheshwari Panda id 11167
Platoon commander Lieutenant Teja Hada id 4045
Platoon commander Lieutenant Aleksandar Ivanov id 8491
Platoon commander Lieutenant Maella Trifonov id 5572
Platoon commander Lieutenant Aleksandre Gruber id 8687
Platoon commander Lieutenant Maria Dyer id 11216
Platoon commander Lieutenant Sierra Silva id 12842
Platoon commander Lieutenant Rekha Govardhan id 7484
Platoon commander Lieutenant Har Nao id 2632
Platoon commander Lieutenant Paige Caldwell id 11443
Platoon commander Lieutenant Hannah Johnson id 10891
Platoon commander Lieutenant Jian Chew id 5495
Platoon commander Lieutenant Charleen Ramsey id 6757
Platoon commander Lieutenant Oliver Bryant id 13906
Platoon commander Lieutenant Erik Vaughn id 4692
Platoon commander Lieutenant Amrit Bojanapati id 3853
Platoon commander Lieutenant Ioanna Weber id 10316
Platoon commander Lieutenant Tuo Chao id 8433
Platoon commander Lieutenant Andrew Crawford id 13929
Platoon commander Lieutenant Lilou Mayr id 5514
Platoon commander Lieutenant Kim Williamson id 3657
Platoon commander Lieutenant Ding Gai id 8568
Platoon commander Lieutenant Carlos Perkins id 2569
Platoon commander Lieutenant Luis Harper id 4079
Platoon commander Lieutenant Duo Bai id 12659
Platoon commander Lieutenant Brian Valdez id 13809
Platoon commander Lieutenant Gorochana Bandaru id 6602
Platoon commander Lieutenant Tobias Auer id 7529
Platoon commander Lieutenant Hema Kaur id 2265
Platoon commander Lieutenant Alessandro Wimmer id 8724
Platoon commander Lieutenant Jordan Keller id 1075
Platoon commander Lieutenant Di Eng id 7589
Platoon commander Lieutenant Vladyslav Schneider id 13695
Platoon commander Lieutenant David Ramirez id 10362
Platoon commander Lieutenant Raymond Dennis id 4138
Platoon commander Lieutenant Aleksandar Lambert id 7646
Platoon commander Lieutenant Enzo Muller id 12005
Platoon commander Lieutenant An Di id 2482
Platoon commander Lieutenant Ji Chaim id 13976
Platoon commander Lieutenant Maxim Dupont id 8590
Platoon commander Lieutenant Yanis Blucher id 14799
Platoon commander Lieutenant Shraddha Champati id 10204
Platoon commander Lieutenant Maxence Hasanov id 8752
Platoon commander Lieutenant Naveen Roffyg id 2532
Platoon commander Lieutenant Bian Huan id 10474
Platoon commander Lieutenant Aparna Chundawat id 6679
Platoon commander Lieutenant Trenton Burgess id 3639
Platoon commander Lieutenant Sarah Gonzalez id 14950
Platoon commander Lieutenant Feng Dea id 1201
Platoon commander Lieutenant Jesus Wilcox id 8824
Platoon commander Lieutenant Ratnangi Gaekwad id 10281
Platoon commander Lieutenant Xue Liao id 14907
Platoon commander Lieutenant Ti Chang id 9521
Platoon commander Lieutenant Michelline Grant id 3883
Platoon commander Lieutenant Sara Hayes id 6418
Platoon commander Lieutenant Aleksandre Weber id 2362
Platoon commander Lieutenant Noah Wagner id 12686
Platoon commander Lieutenant Parameshwari Doshi id 8457
Platoon commander Lieutenant Leah Garner id 7565
Platoon commander Lieutenant Pragati Chaurasiya id 4105
Platoon commander Lieutenant An Chaim id 12776
Platoon commander Lieutenant Mark Lawrence id 1227
Platoon commander Lieutenant Nu Ggim id 13740
Platoon commander Lieutenant Lilou Robert id 6697
Platoon commander Lieutenant Sydney Little id 5349
Platoon commander Lieutenant Rachna Balakrishnan id 12454
Platoon commander Lieutenant Hafiza Balakrishnan id 2294
Platoon commander Lieutenant Lucas Logan id 11364
Platoon commander Lieutenant Matthieu Penev id 10245
Platoon commander Lieutenant Ektaa Deol id 5929
Platoon commander Lieutenant Adrian Mayr id 4807
Platoon commander Lieutenant Shei Kai id 3711
Platoon commander Lieutenant Trenton Oliver id 11235
Platoon commander Lieutenant Qiang Wan id 2587
Platoon commander Lieutenant Melanie Schwartz id 9412
Platoon commander Lieutenant Ezio Huber id 7716
Platoon commander Lieutenant Hou Khoo id 9448
Platoon commander Lieutenant Ion Muller id 14882
Platoon commander Lieutenant Nam Chieu id 11270
Platoon commander Lieutenant Ezio Janssens id 11406
Platoon commander Lieutenant Harigopal Sahu id 12513
Platoon commander Lieutenant Mao Woo id 4772
Platoon commander Lieutenant Tyler Lane id 10496
Platoon commander Lieutenant Dou Chong id 13722
Platoon commander Lieutenant Vrunda Arora id 2320
Platoon commander Lieutenant Bian Ba id 3740
Platoon commander Lieutenant Sarah Edwards id 10446
Platoon commander Lieutenant Clarisse Yanev id 2513
Platoon commander Lieutenant Sarasvati Jeldi id 1110
Platoon commander Lieutenant Kamile Pavlov id 4655
Platoon commander Lieutenant Sadie Keith id 1285
Platoon commander Lieutenant Qi Jing id 7733
Platoon commander Lieutenant Noorjehan Jasti id 10920
Platoon commander Lieutenant Dou Lu id 2380
Platoon commander Lieutenant Maya Hale id 6483
Platoon commander Lieutenant Peyton Wolfe id 5322
Platoon commander Lieutenant Shelby Wilder id 4029
Platoon commander Lieutenant Najma Hada id 9588
Platoon commander Lieutenant Lily Asthana id 6732
Platoon commander Lieutenant Lomberto Ross id 1267
Platoon commander Lieutenant Ar Bi id 3682
Platoon commander Lieutenant Prince Norton id 5403
Platoon commander Lieutenant Kathryn Weaver id 8795
Platoon commander Lieutenant Kang Ang id 6627
Platoon commander Lieutenant Ahmed Denev id 3819
Platoon commander Lieutenant Zhu Sin id 12816
Platoon commander Lieutenant Kong Hsiao id 14978
Platoon commander Lieutenant Nikola Petit id 14844
Platoon commander Lieutenant Lindsey Hudson id 4718
Platoon commander Lieutenant Nam Lang id 1329
Platoon commander Lieutenant Dong Dea id 13946
Platoon commander Lieutenant Clara Bozhinov id 2683
Platoon commander Lieutenant Isabelle Hughes id 10157
Platoon commander Lieutenant Levi Koller id 4788
Platoon commander Lieutenant Shrivatsa Marathe id 6822
Platoon commander Lieutenant Leandro Penev id 2454
Platoon commander Lieutenant Adrian Leroy id 7628
Platoon commander Lieutenant Francesco Mayer id 8625
Platoon commander Lieutenant Madison Shaw id 4615
Platoon commander Lieutenant Marcus Rowe id 11184
Platoon commander Lieutenant Gracie Cochran id 5452
Platoon commander Lieutenant Dhawal Dhaliwal id 7779
Platoon commander Lieutenant Jian Han id 12560
Platoon commander Lieutenant Clarisse Metodiev id 2425
Platoon commander Lieutenant Dakota Tran id 10531
Platoon commander Lieutenant Clarisse Asparuhov id 8507
Platoon commander Lieutenant Lou Ping id 7455
Platoon commander Lieutenant Noah Grigorov id 14760
Platoon commander Lieutenant Danny Anderson id 14041
Platoon commander Lieutenant Deepavali Chaki id 4175
Platoon commander Lieutenant Mansukh Srivastava id 11910
Platoon commander Lieutenant Ion Kanev id 1031
Platoon commander Lieutenant Sachetan Dhawan id 3776
Platoon commander Lieutenant Ivan Tzvetanov id 9558
Platoon commander Lieutenant Gor Mayer id 10802
Platoon commander Lieutenant Nick Stewart id 2211
Platoon commander Lieutenant Filip Stefanov id 3537
Platoon commander Lieutenant Natty Ellis id 9489
Platoon commander Lieutenant Fei Gai id 3960
Platoon commander Lieutenant Prema Chapaneri id 1420
Platoon commander Lieutenant Hunter Curry id 12946
Platoon commander Lieutenant Devasree Annaladasula id 5614
Platoon commander Lieutenant Ruby Banks id 11876
Platoon commander Lieutenant Guillaume Sofiyanski id 8886
Platoon commander Lieutenant Jian Qu id 5376
Platoon commander Lieutenant Alex Williams id 9347
Platoon commander Lieutenant Guillaume Petrov id 1006
Platoon commander Lieutenant Mohajit Amra id 10408
Platoon commander Lieutenant Logan Burke id 5252
Platoon commander Lieutenant Feng Huo id 4193
Platoon commander Lieutenant You Phuong id 8643
Platoon commander Lieutenant Ekavali Deora id 10846
Platoon commander Lieutenant Parnashri Kapri id 6525
Platoon commander Lieutenant Narayana Pandya id 1403
Platoon commander Lieutenant Hailey Hicks id 5972
Platoon commander Lieutenant Ion Bianchi id 11821
Platoon commander Lieutenant Diego Berbatov id 11254
Platoon commander Lieutenant Shahid Upadhyay id 14728
Platoon commander Lieutenant Bei Jing id 12729
